"Dispensing.Practice","IMD","Average.payments.per.weighted.patient"
"Non-dispensing",12.00474296,144.6
"Dispensing",12.52569529,142.35
"Non-dispensing",24.20539655,116.82
"Non-dispensing",27.05967474,170.58
"Dispensing",16.43265591,159.33
"Non-dispensing",44.22659315,142.49
"Non-dispensing",28.59115299,142.34
"Non-dispensing",32.94786049,154.47
"Non-dispensing",47.30826771,120.82
"Non-dispensing",44.49153055,212.19
"Non-dispensing",39.36382556,122.9
"Non-dispensing",32.92923273,141.33
"Non-dispensing",13.66523376,152.36
"Dispensing",16.84838771,325.38
"Non-dispensing",44.12193936,130.82
"Non-dispensing",20.50158104,140.04
"Non-dispensing",20.75905371,147.06
"Non-dispensing",34.79546555,155.29
"Dispensing",18.53615274,182.38
"Dispensing",23.56707741,370.44
"Non-dispensing",14.50059191,138.51
"Non-dispensing",32.24719451,167.07
"Non-dispensing",46.82405279,194.19
"Non-dispensing",27.36733044,191.38
"Non-dispensing",46.90463588,601.27
"Dispensing",13.00295018,180.92
"Non-dispensing",4.853190244,138
"Non-dispensing",40.27082341,111.56
"Non-dispensing",38.09441553,133.06
"Dispensing",11.4046571,203.63
"Dispensing",11.95530223,290.5
"Non-dispensing",14.09102964,173.27
"Dispensing",13.19968928,254.94
"Dispensing",11.98876737,198.11
"Dispensing",11.93434902,169.36
"Dispensing",19.46873133,318.37
"Dispensing",6.285644314,185.8
"Non-dispensing",11.4596111,150.8
"Non-dispensing",10.84984157,169.27
"Non-dispensing",11.74886853,150.75
"Dispensing",24.7935362,181.72
"Dispensing",7.893038095,261.46
"Dispensing",11.17584546,251.07
"Non-dispensing",10.95042304,136.22
"Non-dispensing",10.17796469,146.9
"Non-dispensing",14.08001356,135.7
"Non-dispensing",34.94444779,165.04
"Dispensing",16.87980541,154.1
"Dispensing",10.55511507,144.83
"Non-dispensing",10.67195878,162.68
"Dispensing",12.35855148,334.15
"Dispensing",12.97348198,237.37
"Dispensing",9.638904315,204.53
"Dispensing",10.24564165,233.14
"Dispensing",14.26282922,182.64
"Dispensing",11.85382031,191.56
"Dispensing",9.899560722,306.46
"Dispensing",12.38747641,184.19
"Dispensing",24.77411139,192.88
"Non-dispensing",31.43086813,167.76
"Dispensing",12.58873689,187.52
"Dispensing",13.73210262,202.6
"Non-dispensing",11.68071298,148.73
"Dispensing",12.94571473,259.12
"Dispensing",28.06926373,299.66
"Non-dispensing",8.251341613,142.73
"Dispensing",13.73431397,196.34
"Dispensing",13.08203194,212.95
"Non-dispensing",14.40169042,153.66
"Dispensing",21.53624604,161.74
"Dispensing",9.628153644,313.49
"Dispensing",12.40462812,150.27
"Non-dispensing",11.8080624,151.42
"Dispensing",13.88212729,207.57
"Dispensing",20.41082435,259.76
"Dispensing",12.36474833,242.12
"Dispensing",8.70217855,310.08
"Non-dispensing",10.2039128,141.87
"Non-dispensing",10.42021669,151.75
"Dispensing",14.49906618,146.4
"Dispensing",10.2748265,185.95
"Dispensing",5.512422974,159.39
