"Practice.Code","ICB.NAME","IMD","IMD_quintile"
"E82023","Hertfordshire and West Essex",17.33990389,2
"E82024","Hertfordshire and West Essex",9.848719284,1
"E82027","Hertfordshire and West Essex",11.62611347,1
"E82031","Hertfordshire and West Essex",9.700711897,1
"E82032","Hertfordshire and West Essex",16.80419006,2
"E82035","Hertfordshire and West Essex",13.25038238,2
"E82037","Hertfordshire and West Essex",5.902666077,1
"E82038","Hertfordshire and West Essex",8.605999773,1
"E82040","Hertfordshire and West Essex",16.82187228,2
"E82041","Hertfordshire and West Essex",12.39480888,1
"E82042","Hertfordshire and West Essex",26.98790083,4
"E82043","Hertfordshire and West Essex",12.18447018,1
"E82044","Hertfordshire and West Essex",9.644002125,1
"E82045","Hertfordshire and West Essex",18.58895604,3
"E82046","Hertfordshire and West Essex",12.09779339,1
"E82048","Hertfordshire and West Essex",19.9299506,3
"E82049","Hertfordshire and West Essex",5.286608457,1
"E82050","Hertfordshire and West Essex",22.19039637,3
"E82051","Hertfordshire and West Essex",18.37633046,3
"E82053","Hertfordshire and West Essex",11.08865154,1
"E82055","Hertfordshire and West Essex",7.932036116,1
"E82056","Hertfordshire and West Essex",20.17171609,3
"E82058","Hertfordshire and West Essex",14.08691658,2
"E82059","Hertfordshire and West Essex",8.67897658,1
"E82060","Hertfordshire and West Essex",8.322824764,1
"E82061","Hertfordshire and West Essex",15.66263927,2
"E82062","Hertfordshire and West Essex",14.23183593,2
"E82063","Hertfordshire and West Essex",19.82327564,3
"E82064","Hertfordshire and West Essex",4.444442535,1
"E82066","Hertfordshire and West Essex",9.724276872,1
"E82067","Hertfordshire and West Essex",6.33586917,1
"E82068","Hertfordshire and West Essex",7.72322657,1
"E82069","Hertfordshire and West Essex",12.43233075,1
"E82070","Hertfordshire and West Essex",16.83963075,2
"E82071","Hertfordshire and West Essex",5.704364177,1
"E82072","Cambridgeshire and Peterborough",8.120933733,1
"E82073","Hertfordshire and West Essex",12.37525222,1
"E82074","Hertfordshire and West Essex",6.553018034,1
"E82075","Hertfordshire and West Essex",10.76476766,1
"E82077","Hertfordshire and West Essex",4.806825454,1
"E82078","Hertfordshire and West Essex",14.1380568,2
"E82079","Hertfordshire and West Essex",21.10991222,3
"E82081","Hertfordshire and West Essex",9.081096348,1
"E82082","Hertfordshire and West Essex",17.47758368,2
"E82083","Hertfordshire and West Essex",8.819764404,1
"E82084","Hertfordshire and West Essex",8.160666349,1
"E82085","Hertfordshire and West Essex",9.656494964,1
"E82086","Hertfordshire and West Essex",18.53464297,3
"E82088","Hertfordshire and West Essex",13.44875103,2
"E82089","Hertfordshire and West Essex",18.22278622,2
"E82090","Hertfordshire and West Essex",11.02494882,1
"E82091","Hertfordshire and West Essex",13.84859719,2
"E82092","Hertfordshire and West Essex",8.808593581,1
"E82093","Hertfordshire and West Essex",22.23906982,3
"E82094","Hertfordshire and West Essex",6.174513748,1
"E82096","Hertfordshire and West Essex",12.7921862,2
"E82098","Hertfordshire and West Essex",10.84860268,1
"E82099","Hertfordshire and West Essex",11.35027453,1
"E82100","Hertfordshire and West Essex",8.898525467,1
