"Practice.Code","prop65","IMD","Practice.Rurality"
"B87007",17.1625,27.50419122,"Urban"
"B87018",16.88159,33.98335137,"Urban"
"B87019",20.67901,17.84480676,"Urban"
"B87027",18.70555,20.86203537,"Urban"
"C81005",22.35175,22.01115616,"Urban"
"C81006",12.89971,34.21529624,"Urban"
"C81007",15.30877,23.48144771,"Urban"
"C81009",12.67857,36.24544708,"Urban"
"C81014",19.4938,29.3832148,"Urban"
"C81020",21.71629,20.66811757,"Urban"
"C81021",18.63657,27.73627314,"Urban"
"C81022",23.36735,25.13870184,"Urban"
"C81027",20.12709,25.38482372,"Urban"
"C81028",29.96786,14.35934597,"Urban"
"C81031",19.75405,22.31781754,"Urban"
"C81032",21.21277,19.79537608,"Urban"
"C81035",18.20166,28.09466693,"Urban"
"C81036",17.04429,27.23588389,"Urban"
"C81038",22.96433,11.22200758,"Urban"
"C81040",25.92149,6.667380019,"Urban"
"C81042",23.01127,7.86482618,"Urban"
"C81047",25.35997,21.59758122,"Urban"
"C81049",19.81935,21.51822844,"Urban"
"C81051",16.64429,22.76782386,"Urban"
"C81052",20.09447,24.36559168,"Urban"
"C81054",13.44337,18.51543727,"Urban"
"C81056",24.6149,24.56632611,"Urban"
"C81060",17.5412,18.46912652,"Urban"
"C81061",20.40252,22.53649114,"Urban"
"C81064",22.92409,14.54600594,"Urban"
"C81065",20.29037,18.31446581,"Urban"
"C81066",23.57155,12.11256052,"Urban"
"C81068",19.21163,22.53073075,"Urban"
"C81069",24.59861,12.36520565,"Urban"
"C81070",31.51961,10.59058062,"Urban"
"C81071",14.20854,37.14843122,"Urban"
"C81072",9.17943,33.82049372,"Urban"
"C81073",16.09302,28.67308057,"Urban"
"C81077",20.65527,20.0833373,"Urban"
"C81083",17.18338,16.86116169,"Urban"
"C81101",24.18082,15.29245405,"Urban"
"C81106",17.7622,17.10630987,"Urban"
"C81113",22.0593,8.829689487,"Urban"
"C81114",13.61057,16.60494376,"Urban"
"C81115",22.31257,25.48573507,"Urban"
"C81118",10.74638,36.00182535,"Urban"
"C81615",15.00676,36.15004975,"Urban"
"C81616",10.44517,39.69534575,"Urban"
"C81640",20.64293,11.10988331,"Urban"
"C81652",12.87815,25.8205531,"Urban"
"C81653",14.22284,17.98812547,"Urban"
