"Practice.Code","Year","TOTAL_PATIENTS","TOTAL_GP_EXTGL_HC","TOTAL_GP_EXTGL_FTE","IMD","IMD_quintile"
"A81057","2024",9434.8,3,2.3,26.19803912,"4"
"A81058","2016",7480,4,3.1,28.0331947525,"4"
"A81058","2017",7849,4,3.1,28.457691295,"4"
"A81058","2018",8205,5,3.3,28.8821878375,"4"
"A81058","2019",8505,5,3.3,29.30668438,"4"
"A81058","2020",8806,6,3.8,29.30668438,"4"
"A81058","2021",8936.33333333333,6,4.1,29.30668438,"4"
"A81058","2022",9080.8,6,4.3,29.30668438,"4"
"A81058","2023",9247.91666666667,6,4,29.30668438,"4"
"A81058","2024",9370.1,6,4.2,29.30668438,"4"
"A81060","2016",5402,2,2.7,32.056891385,"4"
"A81060","2017",5585,2,2,32.41410913,"4"
"A81060","2018",5692,2,2,32.771326875,"4"
"A81060","2019",5739,2,2,33.12854462,"4"
"A81060","2020",5768,2,2,33.12854462,"5"
"A81060","2021",5814.66666666667,2,2,33.12854462,"5"
"A81060","2022",5895.4,3,2.4,33.12854462,"5"
"A81060","2023",5956.91666666667,4,2.4,33.12854462,"5"
"A81060","2024",6070.7,4,2.4,33.12854462,"5"
"A81063","2016",5342,2,2.1,36.5183989825,"5"
"A81063","2017",5405,2,2,36.888681365,"5"
"A81063","2018",5421,2,2,37.2589637475,"5"
"A81063","2019",5465,2,2.1,37.62924613,"5"
"A81063","2020",5509,2,2.1,37.62924613,"5"
"A81063","2021",5554.33333333333,2,2.1,37.62924613,"5"
"A81063","2022",5574.7,2,2.1,37.62924613,"5"
"A81063","2023",5530.16666666667,2,2.2,37.62924613,"5"
"A81063","2024",5455.5,2,2.1,37.62924613,"5"
"A81064","2016",6365,3,3,44.34942455,"5"
"A81064","2017",6368,3,3,44.9380741,"5"
"A81064","2018",6339,3,2.2,45.52672365,"5"
"A81064","2019",7020,3,2.2,46.1153732,"5"
"A81064","2020",7113,3,2.2,46.1153732,"5"
