"Practice.Code","Year","IMD_quintile","ICB.NAME","Life_Expectancy_Female","Life_Expectancy_Male"
"A81049",2010,5,"North East and North Cumbria",79.298282101066,75.0848484741127
"A81049",2012,5,"North East and North Cumbria",79.526498303807,75.3301473366076
"A81049",2014,5,"North East and North Cumbria",NA,NA
"A81049",2017,5,"North East and North Cumbria",78.71334525,74.14487638
"A81049",2019,5,"North East and North Cumbria",78.66205443,74.23081016
"A81049",2020,5,"North East and North Cumbria",78.4388,74.0204
"A81051",2010,4,"North East and North Cumbria",81.4031745303884,77.4646720994264
"A81051",2012,4,"North East and North Cumbria",81.6233228511531,78.0118543607112
"A81051",2014,4,"North East and North Cumbria",NA,NA
"A81051",2017,4,"North East and North Cumbria",81.23004933,77.09633727
"A81051",2019,4,"North East and North Cumbria",81.41389059,77.02387055
"A81051",2020,4,"North East and North Cumbria",81.4208,76.3116
"A81052",2010,4,"North East and North Cumbria",81.6684393066299,77.2580472104752
"A81052",2012,4,"North East and North Cumbria",82.3818702290076,77.8524640088594
"A81052",2014,4,"North East and North Cumbria",81.8877248677249,77.5049099836334
"A81052",2017,4,"North East and North Cumbria",81.51723077,78.36566382
"A81052",2019,4,"North East and North Cumbria",81.40561344,78.46253267
"A81052",2020,4,"North East and North Cumbria",81.552,77.7338
"A81053",2010,5,"North East and North Cumbria",80.6842916950188,76.6332202125642
"A81053",2012,5,"North East and North Cumbria",81.1640878988561,76.3775510204081
"A81053",2014,5,"North East and North Cumbria",82.6169303797468,77.1289863842663
"A81053",2017,5,"North East and North Cumbria",83.27968436,76.28084481
"A81053",2019,5,"North East and North Cumbria",82.11672594,76.07190885
"A81053",2020,5,"North East and North Cumbria",81.6801,75.4486
"A81054",2010,4,"North East and North Cumbria",81.6755362709142,77.2138914862318
"A81054",2012,4,"North East and North Cumbria",82.3766410701016,77.7729612640163
"A81054",2014,4,"North East and North Cumbria",81.9294277929155,77.4855482566953
"A81054",2017,4,"North East and North Cumbria",81.44698751,78.05301249
"A81054",2019,4,"North East and North Cumbria",81.39733143,78.16388682
"A81054",2020,4,"North East and North Cumbria",81.4824,77.5553
"A81056",2010,3,"North East and North Cumbria",82.6247013042952,77.3403939272999
"A81056",2012,3,"North East and North Cumbria",83.8770800627943,78.7814510097233
"A81056",2014,3,"North East and North Cumbria",84.0464031620553,79.4981580966999
"A81056",2017,3,"North East and North Cumbria",83.1334237,79.34721146
"A81056",2019,3,"North East and North Cumbria",82.11831938,79.38309014
"A81056",2020,3,"North East and North Cumbria",82.0533,78.8863
"A81057",2010,3,"North East and North Cumbria",82.311296237191,77.0721582919548
"A81057",2012,4,"North East and North Cumbria",83.4846136816471,78.3828202581927
"A81057",2014,4,"North East and North Cumbria",83.7196444058977,79.1921625544267
"A81057",2017,4,"North East and North Cumbria",82.79190981,79.05361406
"A81057",2019,4,"North East and North Cumbria",81.87102184,79.17113629
"A81057",2020,4,"North East and North Cumbria",81.7539,78.6798
"A81058",2010,4,"North East and North Cumbria",80.5277971717041,78.0064621829159
"A81058",2012,4,"North East and North Cumbria",80.9452079107505,78.5281412854661
"A81058",2014,4,"North East and North Cumbria",81.4684575389948,78.8780550774527
"A81058",2017,4,"North East and North Cumbria",81.70953047,78.10948386
"A81058",2019,4,"North East and North Cumbria",81.86829247,78.29479188
"A81058",2020,4,"North East and North Cumbria",81.6404,77.8904
"A81060",2010,4,"North East and North Cumbria",79.8998061029853,75.6498474496259
"A81060",2012,4,"North East and North Cumbria",81.5872097309252,76.9616705698673
"A81060",2014,4,"North East and North Cumbria",81.5876824492702,77.4357305071915
"A81060",2017,4,"North East and North Cumbria",81.73366319,76.71836806
"A81060",2019,5,"North East and North Cumbria",81.42257765,76.68110307
"A81060",2020,5,"North East and North Cumbria",81.6483,76.5691
"A81063",2010,5,"North East and North Cumbria",78.8542498891034,74.6740414598493
"A81063",2012,5,"North East and North Cumbria",80.6490690457719,75.9764893617021
"A81063",2014,5,"North East and North Cumbria",80.6772762951335,76.6620393559929
"A81063",2017,5,"North East and North Cumbria",80.67256508,75.85847442
"A81063",2019,5,"North East and North Cumbria",80.72937793,76.02949362
"A81063",2020,5,"North East and North Cumbria",80.758,76.0924
"A81064",2010,5,"North East and North Cumbria",79.9717750003838,75.2165615228716
"A81064",2012,5,"North East and North Cumbria",79.9684348395547,74.9378056234719
"A81064",2014,5,"North East and North Cumbria",NA,NA
"A81064",2017,5,"North East and North Cumbria",78.41910397,74.47841646
"A81064",2019,5,"North East and North Cumbria",78.89084557,73.83920578
"A81064",2020,5,"North East and North Cumbria",78.5222,72.9194
"A81065",2010,5,"North East and North Cumbria",79.6072121688849,75.6471527771518
"A81065",2012,5,"North East and North Cumbria",79.6283495145631,75.8541520467836
"A81065",2014,5,"North East and North Cumbria",NA,NA
"A81065",2017,5,"North East and North Cumbria",80.68828622,75.48214922
"A81065",2019,5,"North East and North Cumbria",80.09516705,75.19514004
"A81065",2020,5,"North East and North Cumbria",79.2426,75.2909
"A81066",2010,2,"North East and North Cumbria",83.4484774685671,81.0385347573059
"A81066",2012,2,"North East and North Cumbria",84.8037889688249,81.7175024108004
"A81066",2014,2,"North East and North Cumbria",84.1602764976958,81.2297702766057
"A81066",2017,2,"North East and North Cumbria",83.26488302,81.50660745
"A81066",2019,2,"North East and North Cumbria",84.1707294,81.48314437
"A81066",2020,2,"North East and North Cumbria",84.2965,81.1781
"A81067",2010,5,"North East and North Cumbria",78.8537957186395,74.0261897475418
"A81067",2012,5,"North East and North Cumbria",78.8928234183192,74.2188134270102
"A81067",2014,5,"North East and North Cumbria",79.1352336448598,74.4449363480904
"A81067",2017,5,"North East and North Cumbria",78.77859518,74.89945444
"A81067",2019,5,"North East and North Cumbria",79.01198746,75.01816713
"A81067",2020,5,"North East and North Cumbria",78.7933,74.9844
"A81070",2010,5,"North East and North Cumbria",78.8316951842441,74.9847088561125
"A81070",2012,5,"North East and North Cumbria",81.3594218415418,75.4811284046692
"A81070",2014,5,"North East and North Cumbria",81.395652173913,76.2388836329234
"A81070",2017,5,"North East and North Cumbria",82.64096403,77.95413053
"A81070",2019,4,"North East and North Cumbria",81.87306491,77.66060534
"A81070",2020,4,"North East and North Cumbria",82.0142,77.649
"A81602",2010,3,"North East and North Cumbria",82.610558027177,77.6189378849252
"A81602",2012,3,"North East and North Cumbria",84.1150477707007,79.0572196620584
"A81602",2014,3,"North East and North Cumbria",84.1831168831169,79.7416861826698
"A81602",2017,3,"North East and North Cumbria",83.30163265,79.65746939
"A81602",2019,3,"North East and North Cumbria",82.36720993,79.75974962
"A81602",2020,3,"North East and North Cumbria",82.4056,79.4143
"A81608",2010,4,"North East and North Cumbria",80.571560779136,76.0359138108856
"A81608",2012,4,"North East and North Cumbria",79.5311431143114,75.1414175918019
"A81608",2014,5,"North East and North Cumbria",79.3055410691004,75.0463851567498
"A81608",2017,5,"North East and North Cumbria",78.94618928,75.70791457
"A81608",2019,5,"North East and North Cumbria",78.77045914,75.97782753
"A81608",2020,5,"North East and North Cumbria",78.5228,75.282
"A81610",2010,3,"North East and North Cumbria",82.4602319025865,77.4610382426046
"A81610",2012,3,"North East and North Cumbria",83.8389316538371,78.8411498870198
"A81610",2014,3,"North East and North Cumbria",84.0802796871297,79.5618890858445
"A81610",2017,3,"North East and North Cumbria",83.19047741,79.47647587
"A81610",2019,3,"North East and North Cumbria",82.25541234,79.59369452
"A81610",2020,3,"North East and North Cumbria",82.1683,79.1856
"A81611",2010,4,"North East and North Cumbria",80.634962436848,78.1521022623552
"A81611",2012,4,"North East and North Cumbria",80.913311819282,78.7057692307692
"A81611",2014,4,"North East and North Cumbria",NA,NA
"A81611",2017,4,"North East and North Cumbria",81.70911307,78.15754909
"A81611",2019,4,"North East and North Cumbria",82.00805237,78.33295589
"A81611",2020,4,"North East and North Cumbria",81.6201,78.0051
"A81612",2010,3,"North East and North Cumbria",80.20092816053,76.6118719810289
"A81612",2012,3,"North East and North Cumbria",82.268156424581,78.1558170813719
"A81612",2014,3,"North East and North Cumbria",82.4730769230769,78.2793982995422
"A81612",2017,3,"North East and North Cumbria",82.23015403,77.78904028
"A81612",2019,3,"North East and North Cumbria",81.55794498,78.0327357
"A81612",2020,3,"North East and North Cumbria",81.5774,77.7692
"A81618",2010,3,"North East and North Cumbria",80.6103605630086,75.8711472804407
"A81618",2012,3,"North East and North Cumbria",80.9213393568961,78.7746824958587
"A81618",2014,3,"North East and North Cumbria",81.5417144281087,79.2247052659156
"A81618",2017,3,"North East and North Cumbria",81.68729125,77.65270455
"A81618",2019,3,"North East and North Cumbria",81.69665189,78.6411062
"A81618",2020,3,"North East and North Cumbria",82.4618,78.4786
"A81621",2010,5,"North East and North Cumbria",78.8734768784386,74.5333969183593
"A81621",2012,5,"North East and North Cumbria",79.1068345323741,74.4478602620087
"A81621",2014,5,"North East and North Cumbria",NA,NA
"A81621",2017,5,"North East and North Cumbria",77.80021422,72.93650386
"A81621",2019,5,"North East and North Cumbria",77.14643708,73.39323326
"A81621",2020,5,"North East and North Cumbria",77.2793,73.3874
"A81622",2010,5,"North East and North Cumbria",79.7493518132472,75.0201730977856
"A81622",2012,5,"North East and North Cumbria",81.2824031007752,76.5088347296268
"A81622",2014,5,"North East and North Cumbria",81.2165285996055,76.8650885296382
"A81622",2017,5,"North East and North Cumbria",81.31700594,75.59801838
"A81622",2019,5,"North East and North Cumbria",81.06082351,75.49840058
"A81622",2020,5,"North East and North Cumbria",81.5343,75.3024
"A81629",2010,4,"North East and North Cumbria",80.0257616966904,75.1212052943391
"A81629",2012,5,"North East and North Cumbria",80.5625209146682,75.545282051282
"A81629",2014,5,"North East and North Cumbria",80.5662586482171,75.9248043052838
"A81629",2017,5,"North East and North Cumbria",79.56647351,75.84780629
"A81629",2019,5,"North East and North Cumbria",79.73287322,75.81306689
"A81629",2020,5,"North East and North Cumbria",79.3933,75.872
"A81630",2010,5,"North East and North Cumbria",78.1723136809207,73.2682857940873
"A81630",2012,5,"North East and North Cumbria",77.98,73.2722014925373
