"","Practice.Code","Achievement_AF","Achievement_BP","Achievement_CHD","Achievement_CHOL","Achievement_HF","Achievement_HYP","Achievement_LVSD","Achievement_PAD","Achievement_STIA","Prevalence_AF","Prevalence_BP","Prevalence_CHD","Prevalence_CHOL","Prevalence_HF","Prevalence_HYP","Prevalence_LVSD","Prevalence_PAD","Prevalence_STIA","List.Size_AF","List.Size_BP","List.Size_CHD","List.Size_CHOL","List.Size_HF","List.Size_HYP","List.Size_LVSD","List.Size_PAD","List.Size_STIA"
"3266","N81115",100,100,100,72.4,100,100,NA,100,100,1.85701021355617,NA,2.24167661493567,NA,0.729539726754211,11.1818543573418,0.494727249056112,0.636689216076403,1.41928637750365,7539,3042,7539,7681,7539,7539,NA,7539,7539
"3267","N81074",100,100,96.5357142857143,90.2,100,100,NA,100,97.2727272727273,1.76828145146436,NA,3.27868852459016,NA,1.43672867931479,13.6489224534905,0.950960283423457,0.902560324184933,2.11825382206668,5429,2276,5429,5363,5429,5429,NA,5429,5429
"3268","N81038",100,100,100,100,100,100,NA,100,100,3.36026676927023,NA,3.75785558548159,NA,1.5390534821085,18.7123252533025,1.16383169203223,0.538668718737976,1.71860972168783,7797,4286,7797,7819,7797,7797,NA,7797,7797
"3269","N81052",100,99.0666666666667,100,99,100,100,NA,100,100,2.6391045020018,NA,3.16202304109813,NA,1.10303129340632,16.3902279598006,0.816391868096686,0.416700710842389,1.95277391943786,12239,6135,12239,12494,12239,12239,NA,12239,12239
"3270","N81118",100,100,100,77.8,100,100,NA,100,100,2.61383796570077,NA,3.20520402128918,NA,0.946185688941455,15.9314015375517,0.712367161041691,2.50739207569486,2.03429923122413,8455,4401,8455,8563,8455,8455,NA,8455,8455
"3271","N81111",100,100,100,100,100,100,NA,100,100,3.36099001546899,NA,3.90943608493883,NA,1.49064829137955,17.4377724651948,0.859797531549022,0.604696948389819,2.79848122626916,7111,3520,7111,7211,7111,7111,NA,7111,7111
"3272","N81113",100,100,100,100,100,100,NA,100,100,2.42718446601942,NA,3.20388349514563,NA,1.16504854368932,18.7239944521498,1.02493074792244,0.58252427184466,2.06657420249653,7210,3303,7210,7220,7210,7210,NA,7210,7210
"3273","N81022",100,80.3333333333333,100,41.9,99.8965517241379,90.48,NA,100,100,3.37926797156148,NA,3.838614353843,NA,1.10301647210275,16.4779542994236,1.25557380896503,0.620263904736827,2.48690716521841,34179,19033,34179,34088,34179,34179,NA,34179,34179
"3274","N81016",100,83.8666666666667,90.0357142857143,63.2,100,94.4,NA,100,88.1818181818182,1.6005855024502,NA,2.53293451282378,NA,1.12009164386177,11.703684846942,0.718625666964809,0.435944759116655,1.46057404696748,31426,11224,31426,32423,31426,31426,NA,31426,31426
"3275","N81010",100,100,100,100,100,100,NA,100,100,2.51992800205708,NA,3.11133967600926,NA,1.51709951144253,17.8066340961687,0.522713130056005,0.43713036770378,2.1213679609154,7778,3892,7778,8035,7778,7778,NA,7778,7778
"3276","N81125",100,100,100,91.1,100,100,NA,100,100,3.85222193005522,NA,3.99684459637129,NA,0.972916118853536,17.1838022613726,0.491082967174981,0.499605574546411,2.45858532737313,7606,4392,7606,7738,7606,7606,NA,7606,7606
"3277","N81060",100,100,100,98.6,100,88.52,NA,100,100,4.06911928651059,NA,4.15830546265329,NA,1.08138238573021,18.8182831661093,0.609274512016247,0.802675585284281,2.58639910813824,8970,5093,8970,8863,8970,8970,NA,8970,8970
"3278","N81080",100,100,100,86.2333333333333,100,100,NA,100,97.7272727272727,2.41945438834712,NA,3.20948031107271,NA,1.01222071349216,14.3562523145291,0.571361940298508,0.715960992470066,1.60474015553635,8101,3322,8101,8576,8101,8101,NA,8101,8101
