Practice.Code,Outcome,Outcome2
F81138,NA,Merged
F81151,Merged,Merged
F81168,NA,Merged
F81195,NA,Closed
F81200,NA,Closed
F81209,NA,Closed
F81218,NA,Merged
F81622,NA,Closed
F81644,NA,Closed
F81684,NA,Closed
F81688,NA,Closed
F81691,NA,Merged
F81698,NA,Merged
F81720,NA,Merged
F81721,NA,Merged
F81738,NA,Merged
F81756,NA,Closed
K82050,NA,Merged
K82060,NA,Merged
K82062,NA,Closed
K82067,NA,Merged
K82076,NA,Merged
Y00164,NA,Merged
Y00243,NA,Merged
Y00260,NA,Merged
Y00328,NA,Merged
Y00522,NA,Closed
Y00561,NA,Merged
Y00589,NA,Merged
Y01165,NA,Merged
Y02080,Merged,Merged
Y02428,NA,Merged
Y02638,NA,Closed
Y02808,NA,Closed
Y06389,NA,Closed
A82034,NA,Merged
A82065,NA,Merged
A82074,NA,Merged
A82077,NA,Closed
A82621,NA,Merged
C81660,NA,Merged
N81021,NA,Merged
N81023,NA,Merged
N81026,NA,Merged
N81042,Merged,Merged
N81073,NA,Merged
N81091,Merged,Merged
N81094,NA,Merged
N81095,NA,Merged
N81112,NA,Merged
N81655,NA,Merged
N82621,NA,Merged
N82670,NA,Closed
N83015,NA,Merged
N83022,Merged,Merged
N83055,NA,Merged
N83060,NA,Merged
N83604,NA,Merged
N83635,NA,Merged
N84036,NA,Closed
N84611,NA,Closed
N84618,NA,Merged
N84624,NA,Merged
N85001,NA,Merged
N85003,NA,Merged
N85014,NA,Merged
N85034,Merged,Merged
N85040,NA,Merged
N85053,NA,Merged
P81004,Merged,Merged
P81093,NA,Merged
P81134,NA,Merged
P81146,NA,Merged
P81173,NA,Merged
P81177,Merged,Merged
P81204,NA,Merged
P81210,NA,Merged
P81642,NA,Merged
P81659,Merged,Merged
P81667,Merged,Merged
P81689,NA,Merged
P81713,NA,Merged
P81727,NA,Merged
P81737,NA,Closed
P81738,NA,Merged
P81750,NA,Closed
P81756,Merged,Merged
P81763,NA,Closed
P81769,NA,Merged
P81778,Merged,Merged
P83008,Merged,Merged
P83020,NA,Merged
P84055,NA,Merged
P84062,NA,Closed
P84616,NA,Merged
P84631,NA,Closed
P84640,NA,Merged
P84652,NA,Merged
P84682,NA,Closed
P85001,NA,Closed
P85006,Merged,Merged
P85008,NA,Merged
P85028,NA,Closed
P85602,NA,Merged
P85607,NA,Merged
P85613,Merged,Merged
P85620,NA,Closed
P85621,NA,Merged
P87003,Merged,Merged
P87014,NA,Closed
P87039,Merged,Merged
P87618,NA,Closed
P87652,Merged,Merged
P87659,Merged,Merged
P87660,NA,Merged
P88034,NA,Merged
P88600,Merged,Merged
P88607,NA,Merged
P88610,NA,Merged
P88617,NA,Merged
P88624,Merged,Merged
P91032,NA,Closed
P91615,NA,Closed
P91619,NA,Merged
P91625,NA,Closed
P91633,NA,Merged
P92035,NA,Merged
P92616,NA,Merged
P92623,Merged,Merged
P92652,Merged,Merged
Y00110,NA,Closed
Y00912,NA,Merged
Y01124,NA,Merged
Y02045,NA,Merged
Y02129,NA,Closed
Y02162,NA,Merged
Y02610,NA,Merged
Y02625,NA,Merged
Y02854,NA,Merged
Y03656,NA,Merged
A81043,NA,Merged
A81630,NA,Closed
A81632,Merged,Merged
A81633,NA,Closed
A82019,NA,Merged
A82048,NA,Merged
A82049,NA,Closed
A82050,NA,Merged
A82058,NA,Closed
A82060,NA,Closed
A82623,NA,Merged
A83004,Merged,Merged
A83017,NA,Merged
A83076,NA,Merged
A83603,NA,Merged
A83630,NA,Closed
A83632,NA,Merged
A84003,NA,Merged
A84015,NA,Closed
A84032,NA,Merged
A84043,NA,Merged
A84609,NA,Merged
A85003,NA,Merged
A85012,NA,Closed
A85609,NA,Merged
A85620,NA,Merged
A86007,NA,Merged
A86015,NA,Merged
A86035,NA,Closed
A87003,NA,Merged
